拉倒,作罢
张三儿,指狼
麻溜儿的,快点
赶趟,来得及
圪土达,地方
夜个儿,昨天
横,厉害
多暂,啥时候
搁这儿,在这儿
这圪土达,这地方
小嘎儿,小男孩
老板子,赶马车的人
出门子,姑娘出嫁
打八刀,离婚
老赶,外行
撅子,指人脾气倔
小抠儿,为人小气
日头爷儿,指太阳
脖立盖儿,指膝盖
笆篱子,监狱
老么卡哧眼儿,瞧你长的那样，老么卡哧眼儿，那个能看上你，形容又老又丑的人
皮儿片儿,老王家那小子把家里造的皮儿片儿的，同皮皮片片： 乱七八糟的
魂儿画儿 =魂画,你这脸上抹啥了，造的魂儿画儿的
破马张飞,这是嘎哈啊，破马张飞的，能不能消停点儿
舞马张枪,同上
毛愣三光,你能不能稳当点儿啊，别成天毛愣三光的让人不放心
七吃咯嚓,麻利，干净利落
得儿喝的,你别成天得儿喝的行不，正经点儿吧
，甩（水）裆尿裤,你看看你儿子，整天甩裆尿裤地，你媳妇也不好好整整
披哩扑笼,当有人经过的时候，河边那些小青蛙全都披哩扑笼地跳进了水里
递溜蒜卦,意思是说不整洁整齐，乱七八糟的意思！例：你看你收拾的行李，～的
暴土杨长,前两天大风刮的我家前面暴土扬长的，都出不了门儿了
杨了二正,你也别成天杨了二正的摇哪儿烂走了，赶紧找点正经事干
搂瓦块儿,那家伙脸长的，搂瓦块儿的 ，磕碜死了
老天扒地,我现在都老天扒地了，还结啥婚啊，一个人过吧
那旮得儿,你说的那个东西藏在那旮得儿了
急了拐弯 ,那道也成难走了，急*了拐弯的
突鲁反仗,他做事突鲁反仗的，把这事交给他还真让人不放心
傻了吧叽,虎了吧叽[例]干啥玩意呢傻了吧叽的 虎啊！
嘶嘶哈哈,这外面老冷了，冻得我嘶嘶哈哈的
鼻涕拉瞎,"你还记得你小时侯鼻涕拉瞎的样子,成天跟在我后面要糖吃"
吭哧瘪肚,你可别在那儿吭哧瘪肚地浪费大家时间了，没准备好的话赶紧下来吧
急头歪（掰）脸,你这人咋回事的，一说话就急头掰脸地
虚头八脑 ,"你别跟我虚头八脑的了,要借钱就直说"
舞舞喳喳,"过度炫耀,的瑟,招人烦的意思"
疙不溜求,那天他疙不溜脆的就把几个小流氓给收拾了
犄角旮旯,那天我找丢的东西，把家里的犄角旮旯都找了，还是没找到
稀里马哈,别和他做事了，他小子稀里马哈的，别把你自己的事耽误了：马虎
吊儿郎当,老李家那小子成天啥也不干，一天吊儿郎当的
五迷三道,那几天喝得我五迷三道的，钱包丢了都不知道。五迷三道：迷迷糊糊
不项楞：不起作用。,你也太～了，这么点事都没办法明白
不打锛儿 ：说话很流畅,用什么买什么，要说花钱那真是连‘锛儿’都不打……
不断溜儿：连续不断,游行的队伍～一队接一队儿
不赖： 不错，不坏,“老胡头说起来人也～，大伙都爱和他逗个笑话
别脚 ：交通不便,你村建的真不是个地方，太～了
别介：不要那样,别介，瞧你那眼瞪的我不说了还不行吗
憋屈 ： 烦闷，心里不痛快,他爹总没个笑模样，整天～着，不说话
八杆子拨拉不着：互不相干毫无联系,好好念书，是正经，别成天弄那些～的事
字没一撇： 指事物尚无头绪,别听他瞎扯，那事～呢
叭叭的：说话侃快、脆生,那丫头说话～，就是做起事来糊涂
笆篱子： 监狱,韩老六告了状，他被抓去蹲了三个月～
扒瞎：撒谎,二老歪，你寻思我～哪！
拔尖儿,居首位[例]他在班级里学习～了
拔犟眼子： 脾气执拗；说极端的话,李二最能～，谁也犟不过他
掰扯：说话，讲道理,杨大叔，让我把破沙发拉回家去，～～看到底是谁跟我过不去
白眼狼儿：指忘记别人情份或心意狠毒的人,那小子是个～，你可不能理他
干仗,打架
忽悠,这个不用解释了
急眼,发火
叽咯,闹别扭
唠嗑,聊天
末了儿,最后了
磨叽,罗嗦
水了巴察,差劲
寻思,思考，想
咋整,怎么办
作死,寻死
老娃子,乌鸦
喀啦,什么都做不好，被人看不起
得（四声）了把搜,动作举止非常夸张，不够得体，招人讨厌
布拉吉,裙子，女人穿的
滚犊子,意为滚蛋
隔路,贬义，意为“特别，与众不同”，可以理解为“特立独行”
浮溜浮溜,特别满，形容水要溢出的样子
唠嗑,意为聊天
稀罕,意为喜欢
解嘎吱： 意为“过瘾”,你给我挠后背没挠准地方，一点儿都不解嘎吱
傻得呵的,痴呆的样子
傻拉吧唧,傻拉吧登，憨傻，痴呆
哈拉子,流口水
老鼻子了,很多很多
毛愣三光,不稳重，做事毛草
老么咔此眼,形容老年人，皱纹比较多
吭哧瘪肚,做事力不从心，说话不利落
尿性,很有男儿气概。有骨气，真汉子，牛X
那嘎哒,那个地方
砬子,陡峭的石头山
作（zuo）妖,瞎折腾，不干正事。形容程度比较恶劣。
干不拉瞎的,形容某种东西很干的
